"n_per_arm","p_control_true","p_treatment_true","events_control","events_treatment","prop_control","prop_treatment","risk_difference","p_value","rd_lcl","rd_ucl","odds_ratio","or_lcl","or_ucl","reject_h0"
120,0.3,0.45,32,54,0.266666666666667,0.45,0.183333333333333,0.00306097186384218,0.0642402439751054,0.302426422691561,2.24999999999365,1.30942523606321,3.86620011631353,1
120,0.3,0.45,47,56,0.391666666666667,0.466666666666667,0.075,0.240502075337428,-0.0498791861233651,0.199879186123365,1.35904255319149,0.813799718728835,2.26959609210761,0
120,0.3,0.45,36,48,0.3,0.4,0.1,0.104376686599757,-0.0200227919088827,0.220022791908883,1.55555555555374,0.911374901001916,2.65505785133423,0
120,0.3,0.45,40,46,0.333333333333333,0.383333333333333,0.05,0.419266299610887,-0.0711657163435718,0.171165716343572,1.243243243243,0.732756855692161,2.10936786174364,0
120,0.3,0.45,36,54,0.3,0.45,0.15,0.0163950718491923,0.0289811512453686,0.271018848754631,1.90909090908869,1.12275689238793,3.24614181740938,1
120,0.3,0.45,44,68,0.366666666666667,0.566666666666667,0.2,0.00190089325044667,0.0763282685636392,0.323671731436361,2.25874125874124,1.34568188143395,3.79132107248363,1
120,0.3,0.45,34,54,0.283333333333333,0.45,0.166666666666667,0.00738427028477734,0.0465698094672368,0.286763523866097,2.06951871657332,1.21117138574853,3.53616983413159,1
120,0.3,0.45,33,46,0.275,0.383333333333333,0.108333333333333,0.0741385263402165,-0.00977569238415775,0.226442359050824,1.63882063881659,0.95115604912707,2.82365137526706,0
120,0.3,0.45,37,51,0.308333333333333,0.425,0.116666666666667,0.0607515982239581,-0.00437055028246297,0.237703883615796,1.65804935370017,0.975740868561082,2.81747720925093,0
120,0.3,0.45,36,67,0.3,0.558333333333333,0.258333333333333,5.28037463655506e-05,0.137433945865558,0.379232720801109,2.94968553458776,1.73396854824511,5.01776388145099,1
120,0.3,0.45,42,63,0.35,0.525,0.175,0.00628518164338448,0.0514451648349842,0.298554835165016,2.05263157894724,1.22186905645851,3.44823888993748,1
120,0.3,0.45,32,56,0.266666666666667,0.466666666666667,0.2,0.00130536199959901,0.0807203904188562,0.319279609581144,2.40624999999321,1.4012920187088,4.13192895211268,1
120,0.3,0.45,32,62,0.266666666666667,0.516666666666667,0.25,7.2715205860514e-05,0.130608618153587,0.369391381846413,2.93965517240553,1.71260316343379,5.0458697713276,1
